Shipment_ID,Order_Date,Dispatch_Date,Delivery_Date,Origin_City,Destination_City,Origin_Region,Destination_Region,Distance_km,Carrier,Vehicle_Type,Package_Weight_kg,Package_Volume_m3,Priority_Level,Temperature_Sensitive,Fragile,Actual_Delivery_Time_Hours,Estimated_Delivery_Time_Hours,On_Time_Delivery,Delivery_Cost_NOK,Fuel_Cost_NOK,CO2_Emissions_kg,Route_Efficiency_Score,Weather_Condition,Traffic_Condition
SHP1050,10/03/2024,12/03/2024,12/03/2024,Bodø,Fredrikstad,Nord-Norge,Østlandet,318,Bring,Truck,16.21,0.026,Express,0,0,3.7,3.7,1,5733,2002,79,100,Clear,Low
SHP1051,12/02/2024,13/02/2024,13/02/2024,Fredrikstad,Bodø,Østlandet,Nord-Norge,499,DB Schenker,Train,1.05,0.009,Standard,0,0,10.9,6.9,0,2996,719,15,43,Storm,High
SHP1052,18/02/2024,20/02/2024,20/02/2024,Bodø,Trondheim,Nord-Norge,Trøndelag,544,DSV,Truck,27.18,0.031,Priority,0,0,7.3,7.3,1,7851,3428,136,100,Rain,Low
SHP1053,20/02/2024,21/02/2024,21/02/2024,Tromsø,Bergen,Nord-Norge,Vestlandet,421,DSV,Truck,1.17,0.006,Priority,0,0,6.1,6.1,1,6059,2650,105,100,Clear,Medium
SHP1054,28/03/2024,30/03/2024,30/03/2024,Trondheim,Drammen,Trøndelag,Østlandet,530,Bring,Truck,10.07,0.026,Priority,1,1,8.4,7.5,0,7636,3338,132,87,Clear,High
SHP1055,05/03/2024,06/03/2024,06/03/2024,Tromsø,Stavanger,Nord-Norge,Vestlandet,336,Scandinavian Express,Truck,11.16,0.039,Priority,0,1,4.1,4.1,1,4841,2115,84,100,Clear,Low
SHP1056,01/03/2024,02/03/2024,02/03/2024,Oslo,Bergen,Østlandet,Vestlandet,448,Norsk Transport,Truck,11.39,0.065,Standard,0,0,7.5,6.2,0,5382,2823,112,79,Rain,High
SHP1057,22/03/2024,24/03/2024,24/03/2024,Oslo,Oslo,Østlandet,Østlandet,40,Bring,Van,3.08,0.027,Express,0,0,3.2,2,0,486,87,5,40,Storm,High
SHP1058,09/02/2024,11/02/2024,11/02/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,Posten,Truck,4.01,0.015,Standard,0,0,5,5,1,4682,2457,98,100,Clear,Medium
SHP1059,22/02/2024,23/02/2024,23/02/2024,Bergen,Bergen,Vestlandet,Vestlandet,47,DHL Norway,Van,7.96,0.019,Express,0,0,2,2,1,572,102,6,100,Rain,Low
SHP1060,28/02/2024,29/02/2024,29/02/2024,Bergen,Fredrikstad,Vestlandet,Østlandet,334,Scandinavian Express,Truck,2.23,0.015,Priority,0,0,3.9,3.9,1,4814,2105,84,100,Clear,Medium
SHP1061,09/02/2024,11/02/2024,13/02/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,Bring,Container Ship,0.21,0.001,Standard,0,0,66.4,51,0,6960,7830,313,70,Rain,High
SHP1062,29/02/2024,01/03/2024,01/03/2024,Kristiansand,Stavanger,Sørlandet,Vestlandet,358,Bring,Train,8.26,0.072,Standard,0,0,4.3,4.3,1,2151,515,11,100,Clear,Medium
SHP1063,15/02/2024,17/02/2024,17/02/2024,Bergen,Bodø,Vestlandet,Nord-Norge,281,Norsk Transport,Truck,6.26,0.032,Express,0,0,3.3,3.3,1,5068,1772,70,100,Rain,Low
SHP1064,23/01/2024,24/01/2024,24/01/2024,Oslo,Bodø,Østlandet,Nord-Norge,376,PostNord,Truck,10.69,0.027,Standard,0,0,7.2,5.9,0,4518,2369,94,79,Fog,High
SHP1065,28/03/2024,30/03/2024,30/03/2024,Stavanger,Bergen,Vestlandet,Vestlandet,210,Bring,Truck,1.59,0.003,Standard,0,0,3.6,3.2,0,2521,1323,52,88,Rain,Severe
SHP1066,08/02/2024,09/02/2024,09/02/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,DSV,Cargo Plane,18.38,0.181,Standard,0,0,3.3,3.3,1,43509,78300,487,100,Fog,Low
SHP1067,04/02/2024,06/02/2024,06/02/2024,Fredrikstad,Ålesund,Østlandet,Vestlandet,241,Norsk Transport,Van,1.58,0.013,Standard,0,0,5.2,5.2,1,1925,520,29,100,Clear,Medium
SHP1068,02/01/2024,04/01/2024,04/01/2024,Oslo,Drammen,Østlandet,Østlandet,506,DHL Norway,Train,22.2,0.102,Standard,0,0,8.4,6.4,0,3049,729,15,69,Storm,Medium
SHP1069,09/01/2024,11/01/2024,11/01/2024,Ålesund,Trondheim,Vestlandet,Trøndelag,540,PostNord,Truck,5.97,0.012,Standard,1,0,13,8.8,0,6487,3404,135,52,Snow,Low
SHP1070,13/02/2024,14/02/2024,14/02/2024,Fredrikstad,Ålesund,Østlandet,Vestlandet,446,PostNord,Truck,7.98,0.026,Standard,0,0,6.8,6.8,1,5353,2808,111,100,Clear,Low
SHP1071,21/03/2024,23/03/2024,23/03/2024,Oslo,Drammen,Østlandet,Østlandet,202,Posten,Van,22.69,0.16,Priority,0,0,3.7,3.7,1,1951,436,24,100,Clear,Low
SHP1072,23/01/2024,25/01/2024,25/01/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,DHL Norway,Truck,3.57,0.029,Standard,0,0,7.7,7.7,1,5882,3087,122,100,Fog,Medium
SHP1073,07/03/2024,08/03/2024,08/03/2024,Fredrikstad,Tromsø,Østlandet,Nord-Norge,330,Bring,Truck,2.01,0.004,Standard,0,0,4.6,4.6,1,3966,2082,83,100,Clear,Medium
SHP1074,23/01/2024,24/01/2024,24/01/2024,Drammen,Trondheim,Østlandet,Trøndelag,452,Norsk Transport,Truck,5.9,0.043,Standard,0,0,6.4,6.4,1,5432,2850,113,100,Clear,Low
SHP1075,04/02/2024,05/02/2024,05/02/2024,Drammen,Ålesund,Østlandet,Vestlandet,258,Bring,Truck,2.8,0.019,Standard,0,0,4.3,4.3,1,3101,1627,65,100,Rain,Low
SHP1076,26/01/2024,27/01/2024,27/01/2024,Fredrikstad,Fredrikstad,Østlandet,Østlandet,27,FedEx Norway,Van,7.5,0.039,Standard,0,0,2,2,1,222,59,3,100,Clear,Low
SHP1077,12/03/2024,14/03/2024,14/03/2024,Oslo,Bergen,Østlandet,Vestlandet,465,Bring,Train,3.22,0.008,Express,0,0,3.9,3.9,1,4184,669,14,100,Rain,Medium
SHP1078,15/01/2024,16/01/2024,16/01/2024,Bergen,Drammen,Vestlandet,Østlandet,507,DSV,Truck,19.99,0.172,Standard,0,1,8.5,8.5,1,6092,3193,127,100,Clear,Low
SHP1079,18/01/2024,20/01/2024,20/01/2024,Oslo,Fredrikstad,Østlandet,Østlandet,487,Posten,Truck,9.35,0.027,Standard,0,1,7.2,7.2,1,5854,3071,122,100,Clear,Low
SHP1080,01/03/2024,02/03/2024,02/03/2024,Kristiansand,Drammen,Sørlandet,Østlandet,300,DB Schenker,Truck,0.1,0,Priority,0,0,4.4,3.7,0,4314,1888,75,79,Clear,High
SHP1081,12/03/2024,13/03/2024,13/03/2024,Trondheim,Bergen,Trøndelag,Vestlandet,610,DHL Norway,Train,16.37,0.132,Standard,0,0,8.8,8.8,1,3668,878,18,100,Clear,Medium
SHP1082,17/01/2024,18/01/2024,18/01/2024,Bergen,Kristiansand,Vestlandet,Sørlandet,455,PostNord,Truck,4.01,0.026,Standard,1,0,8,6.4,0,5465,2868,114,76,Snow,Medium
SHP1083,07/01/2024,08/01/2024,08/01/2024,Oslo,Trondheim,Østlandet,Trøndelag,490,DSV,Truck,3.86,0.011,Priority,0,0,5.6,5.6,1,7058,3087,122,100,Rain,Low
SHP1084,23/02/2024,25/02/2024,25/02/2024,Bergen,Tromsø,Vestlandet,Nord-Norge,553,Posten,Truck,4.83,0.038,Standard,0,1,8.5,8.5,1,6641,3485,138,100,Clear,Low
SHP1085,15/03/2024,17/03/2024,17/03/2024,Bergen,Kristiansand,Vestlandet,Sørlandet,283,Norsk Transport,Truck,9.95,0.052,Express,0,0,2.9,2.9,1,5108,1785,71,100,Rain,Low
SHP1086,23/02/2024,24/02/2024,24/02/2024,Drammen,Kristiansand,Østlandet,Sørlandet,278,PostNord,Truck,5.84,0.032,Standard,0,0,4.4,4.4,1,3339,1751,69,100,Rain,Medium
SHP1087,31/01/2024,01/02/2024,01/02/2024,Trondheim,Bodø,Trøndelag,Nord-Norge,304,PostNord,Truck,9.91,0.037,Standard,0,0,4.3,4.3,1,3651,1914,76,100,Fog,Low
SHP1088,17/02/2024,18/02/2024,19/02/2024,Tromsø,Oslo,Nord-Norge,Østlandet,1740,DHL Norway,Container Ship,1.59,0.003,Priority,1,0,38.3,38.3,1,8353,7830,313,100,Rain,Low
SHP1089,03/02/2024,05/02/2024,05/02/2024,Stavanger,Ålesund,Vestlandet,Vestlandet,448,PostNord,Truck,35.12,0.192,Standard,1,0,7.5,7.5,1,5395,2823,112,100,Clear,Medium
SHP1090,28/01/2024,30/01/2024,30/01/2024,Oslo,Fredrikstad,Østlandet,Østlandet,593,Bring,Train,13.08,0.079,Standard,0,0,8.2,8.2,1,3563,853,18,100,Clear,Low
SHP1091,25/02/2024,27/02/2024,27/02/2024,Drammen,Fredrikstad,Østlandet,Østlandet,384,PostNord,Truck,2.88,0.005,Priority,1,0,5.8,4.5,0,5534,2420,96,72,Snow,Low
SHP1092,27/02/2024,28/02/2024,28/02/2024,Fredrikstad,Fredrikstad,Østlandet,Østlandet,19,DB Schenker,Van,12.88,0.096,Standard,0,1,2.5,2,0,162,42,2,74,Rain,High
SHP1093,08/03/2024,10/03/2024,10/03/2024,Stavanger,Fredrikstad,Vestlandet,Østlandet,438,FedEx Norway,Truck,8.56,0.013,Express,0,0,5.1,5.1,1,7887,2758,109,100,Clear,Low
SHP1094,09/02/2024,10/02/2024,10/02/2024,Fredrikstad,Ålesund,Østlandet,Vestlandet,241,DHL Norway,Truck,1.16,0.006,Express,0,1,3,2.4,0,4334,1517,60,76,Rain,High
SHP1095,05/01/2024,07/01/2024,07/01/2024,Stavanger,Kristiansand,Vestlandet,Sørlandet,496,Posten,Truck,1.96,0.005,Standard,0,1,8.1,6.6,0,5954,3125,124,77,Clear,High
SHP1096,25/02/2024,26/02/2024,26/02/2024,Stavanger,Ålesund,Vestlandet,Vestlandet,450,Bring,Truck,0.42,0.004,Standard,0,1,7.5,7.5,1,5404,2837,113,100,Clear,Low
SHP1097,27/01/2024,29/01/2024,29/01/2024,Bergen,Fredrikstad,Vestlandet,Østlandet,579,Posten,Train,16.57,0.129,Standard,1,0,9.5,8.4,0,3484,834,17,87,Clear,Severe
SHP1098,16/03/2024,18/03/2024,18/03/2024,Oslo,Oslo,Østlandet,Østlandet,7,Posten,Van,8.02,0.026,Express,0,0,2.4,2,0,91,15,1,79,Clear,High
SHP1099,06/02/2024,08/02/2024,08/02/2024,Oslo,Stavanger,Østlandet,Vestlandet,540,DB Schenker,Truck,3.81,0.026,Standard,0,0,8.9,7.3,0,6482,3402,135,78,Rain,Severe
SHP1100,05/01/2024,07/01/2024,07/01/2024,Oslo,Bergen,Østlandet,Vestlandet,443,FedEx Norway,Truck,1.35,0.013,Standard,0,1,6.5,6.5,1,5314,2790,111,100,Clear,Medium
SHP1101,09/02/2024,11/02/2024,11/02/2024,Trondheim,Fredrikstad,Trøndelag,Østlandet,553,Posten,Truck,6.62,0.032,Standard,0,1,9.6,8.7,0,6641,3485,138,90,Clear,High
SHP1102,10/03/2024,11/03/2024,11/03/2024,Bergen,Tromsø,Vestlandet,Nord-Norge,382,DSV,Truck,7.45,0.05,Standard,1,0,6.3,6.3,1,4591,2408,96,100,Clear,Medium
SHP1103,17/01/2024,19/01/2024,19/01/2024,Stavanger,Stavanger,Vestlandet,Vestlandet,17,Norsk Transport,Van,12.1,0.029,Standard,0,0,2.5,2,0,139,36,2,73,Clear,High
SHP1104,16/01/2024,18/01/2024,18/01/2024,Tromsø,Ålesund,Nord-Norge,Vestlandet,546,DHL Norway,Truck,35.04,0.161,Priority,0,0,7.1,7.1,1,7883,3439,136,100,Clear,Medium
SHP1105,20/01/2024,22/01/2024,23/01/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,DSV,Truck,5.71,0.025,Standard,1,0,39.5,26.8,0,20883,10962,435,53,Snow,High
SHP1106,01/01/2024,03/01/2024,03/01/2024,Bergen,Tromsø,Vestlandet,Nord-Norge,426,PostNord,Train,5.21,0.018,Standard,0,1,6.2,6.2,1,2557,613,13,100,Clear,Medium
SHP1107,11/02/2024,12/02/2024,12/02/2024,Fredrikstad,Drammen,Østlandet,Østlandet,558,DSV,Truck,4.62,0.034,Express,0,1,9.4,6.6,0,10049,3516,140,58,Snow,Medium
SHP1108,29/03/2024,31/03/2024,02/04/2024,Oslo,Tromsø,Østlandet,Nord-Norge,1740,Posten,Container Ship,17.54,0.147,Standard,0,0,52.8,45,0,6969,7830,313,83,Clear,High
SHP1109,13/01/2024,15/01/2024,15/01/2024,Oslo,Fredrikstad,Østlandet,Østlandet,473,Posten,Truck,1.7,0.009,Priority,0,0,5.4,5.4,1,6816,2981,118,100,Fog,Low
SHP1110,09/02/2024,11/02/2024,11/02/2024,Oslo,Drammen,Østlandet,Østlandet,371,Posten,Truck,4.21,0.041,Standard,0,0,5.6,5.6,1,4455,2338,93,100,Clear,Low
SHP1111,24/03/2024,25/03/2024,25/03/2024,Oslo,Bodø,Østlandet,Nord-Norge,512,Bring,Truck,12.91,0.071,Standard,0,0,8.4,8.4,1,6156,3229,128,100,Clear,Low
SHP1112,20/01/2024,22/01/2024,22/01/2024,Tromsø,Kristiansand,Nord-Norge,Sørlandet,340,Norsk Transport,Truck,0.16,0.001,Priority,0,1,5,4.2,0,4897,2143,85,82,Rain,Severe
SHP1113,02/03/2024,04/03/2024,04/03/2024,Fredrikstad,Tromsø,Østlandet,Nord-Norge,567,DHL Norway,Truck,3.42,0.004,Standard,0,1,11,9,0,6800,3569,142,78,Rain,High
SHP1114,06/01/2024,07/01/2024,07/01/2024,Trondheim,Oslo,Trøndelag,Østlandet,490,Bring,Train,10.26,0.074,Standard,0,0,5.7,5.7,1,2945,706,15,100,Clear,Low
SHP1115,10/01/2024,12/01/2024,12/01/2024,Kristiansand,Bergen,Sørlandet,Vestlandet,408,DSV,Truck,2.06,0.005,Standard,0,0,8.4,6.8,0,4901,2572,102,75,Clear,Severe
SHP1116,23/03/2024,25/03/2024,25/03/2024,Fredrikstad,Tromsø,Østlandet,Nord-Norge,466,Bring,Truck,3.61,0.007,Priority,0,0,5.2,5.2,1,6708,2934,116,100,Clear,Low
SHP1117,05/01/2024,07/01/2024,07/01/2024,Oslo,Bodø,Østlandet,Nord-Norge,258,PostNord,Truck,6.66,0.02,Express,1,1,2.9,2.9,1,4649,1625,64,100,Clear,Low
SHP1118,21/02/2024,22/02/2024,22/02/2024,Tromsø,Trondheim,Nord-Norge,Trøndelag,458,DHL Norway,Truck,5.48,0.029,Standard,0,0,7.7,7.7,1,5500,2886,115,100,Clear,Medium
SHP1119,04/01/2024,05/01/2024,05/01/2024,Stavanger,Ålesund,Vestlandet,Vestlandet,204,Posten,Van,1.12,0.006,Express,0,0,2.9,2.9,1,2447,440,24,100,Clear,Low
SHP1120,01/02/2024,03/02/2024,03/02/2024,Fredrikstad,Ålesund,Østlandet,Vestlandet,599,Posten,Truck,27.84,0.248,Standard,0,0,8.3,8.3,1,7204,3775,150,100,Rain,Low
SHP1121,07/03/2024,08/03/2024,08/03/2024,Tromsø,Bodø,Nord-Norge,Nord-Norge,507,DB Schenker,Train,0.45,0.003,Standard,0,1,10.1,7.5,0,3043,730,15,66,Storm,Medium
SHP1122,19/02/2024,20/02/2024,20/02/2024,Bergen,Trondheim,Vestlandet,Trøndelag,610,DSV,Truck,13.85,0.078,Express,0,0,6,6,1,10990,3843,152,100,Clear,Low
SHP1123,14/01/2024,16/01/2024,16/01/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,Bring,Truck,0.74,0.005,Express,1,0,4.2,4.2,1,7021,2457,98,100,Rain,Medium
SHP1124,24/01/2024,25/01/2024,25/01/2024,Oslo,Ålesund,Østlandet,Vestlandet,390,DB Schenker,Truck,6.3,0.055,Standard,0,0,6.4,6.4,1,4683,2457,98,100,Clear,Low
SHP1125,29/03/2024,31/03/2024,31/03/2024,Bergen,Ålesund,Vestlandet,Vestlandet,280,DSV,Van,1.93,0.017,Standard,0,0,6,5.3,0,2240,605,34,88,Clear,Severe
SHP1126,16/01/2024,17/01/2024,17/01/2024,Fredrikstad,Bodø,Østlandet,Nord-Norge,407,Bring,Truck,1.52,0.009,Standard,0,0,7.7,6.8,0,4880,2562,102,87,Rain,High
SHP1127,07/03/2024,08/03/2024,08/03/2024,Kristiansand,Kristiansand,Sørlandet,Sørlandet,27,Bring,Van,1.35,0.003,Express,0,0,2,2,1,328,59,3,100,Rain,Medium
